id,subject,predicate,object,source,confidence,score,is_sr
1,academic/wiki/papers/D001-2010-distorted-kagome,来源,academic/raw/references/D001-2010-distorted-kagome/paper,raw-not-distributed/D001-2010-distorted-kagome/paper.md,可追溯,,0
2,academic/wiki/papers/D001-2010-distorted-kagome,发表于,Phys. Rev. B,raw-not-distributed/D001-2010-distorted-kagome/wiki.md#semantic,可追溯,,0
3,Wei Li,第一作者,academic/wiki/papers/D001-2010-distorted-kagome,raw-not-distributed/D001-2010-distorted-kagome/wiki.md#semantic,可追溯,,0
4,Shou-Shu Gong,作者,academic/wiki/papers/D001-2010-distorted-kagome,raw-not-distributed/D001-2010-distorted-kagome/wiki.md#semantic,可追溯,,0
5,Yang Zhao,作者,academic/wiki/papers/D001-2010-distorted-kagome,raw-not-distributed/D001-2010-distorted-kagome/wiki.md#semantic,可追溯,,0
6,Shi-Ju Ran,作者,academic/wiki/papers/D001-2010-distorted-kagome,raw-not-distributed/D001-2010-distorted-kagome/wiki.md#semantic,可追溯,,0
7,Song Gao,作者,academic/wiki/papers/D001-2010-distorted-kagome,raw-not-distributed/D001-2010-distorted-kagome/wiki.md#semantic,可追溯,,0
8,Gang Su,作者,academic/wiki/papers/D001-2010-distorted-kagome,raw-not-distributed/D001-2010-distorted-kagome/wiki.md#semantic,可追溯,,0
9,academic/wiki/papers/D001-2010-distorted-kagome,核心方法,精确解,raw-not-distributed/D001-2010-distorted-kagome/wiki.md#semantic,可追溯,,0
10,academic/wiki/papers/D001-2010-distorted-kagome,核心方法,TRG,raw-not-distributed/D001-2010-distorted-kagome/wiki.md#semantic,可追溯,,0
11,academic/wiki/papers/D001-2010-distorted-kagome,研究基础,二维模型,raw-not-distributed/D001-2010-distorted-kagome/wiki.md#semantic,可追溯,,0
12,academic/wiki/papers/D001-2010-distorted-kagome,研究基础,扭曲格点,raw-not-distributed/D001-2010-distorted-kagome/wiki.md#semantic,可追溯,,0
13,academic/wiki/papers/D001-2010-distorted-kagome,核心创新点,扭曲kagome格点上二维Ising模型的精确解与TRG数值结合,raw-not-distributed/D001-2010-distorted-kagome/wiki.md#semantic,可追溯,,0
14,academic/wiki/papers/D001-2010-distorted-kagome,核心创新点,外磁场下m=1/3磁化平台的发现,raw-not-distributed/D001-2010-distorted-kagome/wiki.md#semantic,可追溯,,0
15,academic/wiki/papers/D001-2010-distorted-kagome,核心创新点,拟合DMF磁化率并提取交换耦合常数,raw-not-distributed/D001-2010-distorted-kagome/wiki.md#semantic,可追溯,,0
16,academic/wiki/papers/D001-2010-distorted-kagome,应用于,DMF,raw-not-distributed/D001-2010-distorted-kagome/wiki.md#semantic,可追溯,,0
17,academic/wiki/papers/D001-2010-distorted-kagome,对比方法,各向同性反铁磁模型,raw-not-distributed/D001-2010-distorted-kagome/wiki.md#semantic,可追溯,,0
18,二维模型,属于,扭曲格点,raw-not-distributed/D001-2010-distorted-kagome/wiki.md#semantic,可追溯,,0
19,TRG,对比,精确解,raw-not-distributed/D001-2010-distorted-kagome/wiki.md#semantic,可追溯,,0
20,扭曲格点,基于,kagome格点,raw-not-distributed/D001-2010-distorted-kagome/wiki.md#semantic,可追溯,,0
21,DMF,包含,钴离子,raw-not-distributed/D001-2010-distorted-kagome/wiki.md#semantic,推断,,0
22,扭曲格点,包含,kagome格点,raw-not-distributed/D001-2010-distorted-kagome/paper.md,推断,,0
23,扭曲kagome格点上二维Ising模型的精确解与TRG数值结合,包含,TRG,raw-not-distributed/D001-2010-distorted-kagome/paper.md,推断,,0
24,扭曲kagome格点上二维Ising模型的精确解与TRG数值结合,包含,扭曲格点,raw-not-distributed/D001-2010-distorted-kagome/paper.md,推断,,0
25,扭曲kagome格点上二维Ising模型的精确解与TRG数值结合,包含,精确解,raw-not-distributed/D001-2010-distorted-kagome/paper.md,推断,,0
26,扭曲kagome格点上二维Ising模型的精确解与TRG数值结合,包含,二维模型,raw-not-distributed/D001-2010-distorted-kagome/paper.md,推断,,0
27,academic/wiki/papers/D002-2010-ltrg,来源,academic/raw/references/D002-2010-ltrg/paper,raw-not-distributed/D002-2010-ltrg/paper.md,可追溯,,0
28,Wei Li,第一作者,academic/wiki/papers/D002-2010-ltrg,raw-not-distributed/D002-2010-ltrg/wiki.md#semantic,可追溯,,0
29,Shi-Ju Ran,作者,academic/wiki/papers/D002-2010-ltrg,raw-not-distributed/D002-2010-ltrg/wiki.md#semantic,可追溯,,0
30,Shou-Shu Gong,作者,academic/wiki/papers/D002-2010-ltrg,raw-not-distributed/D002-2010-ltrg/wiki.md#semantic,可追溯,,0
31,Yang Zhao,作者,academic/wiki/papers/D002-2010-ltrg,raw-not-distributed/D002-2010-ltrg/wiki.md#semantic,可追溯,,0
32,Bin Xi,作者,academic/wiki/papers/D002-2010-ltrg,raw-not-distributed/D002-2010-ltrg/wiki.md#semantic,可追溯,,0
33,Fei Ye,作者,academic/wiki/papers/D002-2010-ltrg,raw-not-distributed/D002-2010-ltrg/wiki.md#semantic,可追溯,,0
34,Gang Su,作者,academic/wiki/papers/D002-2010-ltrg,raw-not-distributed/D002-2010-ltrg/wiki.md#semantic,可追溯,,0
35,academic/wiki/papers/D002-2010-ltrg,核心方法,LTRG,raw-not-distributed/D002-2010-ltrg/wiki.md#semantic,可追溯,,0
