hub_id,hub_label,supporting_papers_final,official_gold_papers,eligible_primary_analysis
academic/wiki/hubs/PEPS 与 iPEPS 更新方法,PEPS 与 iPEPS 更新方法,34,17,1
academic/wiki/hubs/纠缠熵与纠缠谱诊断,纠缠熵与纠缠谱诊断,16,9,1
academic/wiki/hubs/Heisenberg 反铁磁模型,Heisenberg 反铁磁模型,10,3,1
academic/wiki/hubs/二维量子多体系统与临界性,二维量子多体系统与临界性,2,1,0
academic/wiki/hubs/拓扑纠缠熵与 Rényi 诊断,拓扑纠缠熵与 Rényi 诊断,2,1,0
academic/wiki/hubs/量子格点模型的晶格几何,量子格点模型的晶格几何,3,2,1
academic/wiki/hubs/多参考 Hartree–Fock 与耦合簇方法,多参考 Hartree–Fock 与耦合簇方法,1,0,0
academic/wiki/hubs/量子与变分蒙特卡洛方法,量子与变分蒙特卡洛方法,7,2,1
academic/wiki/hubs/一维量子自旋链与基态,一维量子自旋链与基态,1,0,0
academic/wiki/hubs/量子自旋模型与自旋液体,量子自旋模型与自旋液体,3,2,1
academic/wiki/hubs/神经网络求解电子薛定谔方程,神经网络求解电子薛定谔方程,2,0,0
academic/wiki/hubs/局域与双体纠缠熵及面积律,局域与双体纠缠熵及面积律,7,3,1
academic/wiki/hubs/张量重正化群及可微变体,张量重正化群及可微变体,20,10,1
academic/wiki/hubs/PEPS/PESS 表示及高维推广,PEPS/PESS 表示及高维推广,32,18,1
academic/wiki/hubs/价键固体与价键晶体,价键固体与价键晶体,3,2,1
academic/wiki/hubs/张量网络方法与机器学习,张量网络方法与机器学习,2,1,0
academic/wiki/hubs/关联长度与最近邻关联诊断,关联长度与最近邻关联诊断,5,2,1
academic/wiki/hubs/msQFM 及其编码方案,msQFM 及其编码方案,2,0,0
