alias,node_path
1/3磁化平台1/3 magnetization plateau,磁化平台
1/9磁化平台内的两种价键图案相变,磁化平台内的两种价键图案相变
ADQC,ADQC
ADTN,ADTN
AIII,对称类
AIII对称类AIII symmetry class,对称类
AOP,AOP
APL,APL
BEE,BEE
Bethe lattice,贝特晶格
CFT,CFT
CNN,CNN
COO,COO
CQOs,CQOs
CSW,CSW
Co(N₃)₂(bpg)·DMF_{4/3},DMF
Creutz,梯子
Creutz梯子Creutz ladder,梯子
DCT,DCT
DFT,DFT
DMET,DMET
DMF,DMF
DMF,拟合DMF磁化率并提取交换耦合常数
DMFT,DMFT
DMPSC,DMPSC
DMRG,DMRG
DNN,DNN
Delta,Delta
Delta,工作区间
Delta-theta,Delta-theta
EBH,EBH
ESN,ESN
ETH,ETH
FCI,FCI
FGTO,FGTO
FNO,FNO
FTN,FTN
Floquet,Floquet
Fourier neural operator,FNO
GCNN,GCNN
GMPSC,GMPSC
GNN,GNN
GTNC,GTNC
GWD,距离
Gromov-Wasserstein,距离
Gromov-Wasserstein距离Gromov-Wasserstein distance(GWD),距离
Haldane,Haldane
Hamiltoniantuning Hamiltonian,TH
Hartree,多参考方法
Heisenberg,各向同性反铁磁模型
Heisenberg antiferromagnet,海森堡反铁磁模型
Heisenberg chain,海森堡链
Heisenberg model,海森堡模型
Herbertsmithite,OH
Hilbert space shattering,希尔伯特空间碎裂
Hilbert space shattering,现象
Hilbert space shattering现象,现象
Hubbard,相互作用
Hubbard相互作用Hubbard interaction,相互作用
Husimi,无限晶格
IGNR,IGNR
ITSA,ITSA
Ising,二维模型
KNN,近邻
KT,KT
Kosterlitz-Thouless,KT
Kosterlitz-Thouless,再入现象可出现在属于普适类的相之下
Kosterlitz-Thouless,普适类
Kosterlitz-Thouless普适类,普适类
Kosterlitz-Thouless相变Kosterlitz-Thouless phase transition(KT),KT
Kullback,散度
Kullback–Leibler散度,散度
K近邻K-nearest neighbor(KNN),近邻
LSTM,LSTM
LTRG,LTRG
Landau-Ginzburg,范式
Landau-Ginzburg范式,范式
Lyapunov exponent,李雅普诺夫指数
MBL,MBL
MERA,MERA
MNIST,MNIST
MNIST手写数字数据集MNIST,MNIST
MPD,MPD
MPNN,MPNN
MPO,MPO
MPS,MPS
MR-CC,MR-CC
MUSCO,MUSCO
Metropolis,MPNN
Metropolis,采样量子势神经网络
Metropolis势神经网络Metropolis potential neural network(MPNN),MPNN
Metropolis采样量子势神经网络,采样量子势神经网络
NCD,NCD
NLF,NLF
NN-RVB,NN-RVB
NSSL,NSSL
NTD,NTD
ODTNS,ODTNS
OH,OH
Oshikawa-Yamanaka-Affleck,判据
Oshikawa-Yamanaka-Affleck判据,判据
PCA,PCA
