run_id,sequence_index,entry_id,work_id,decision,role,related_to,publication_year,title,doi,canonical_pdf_sha256,formal_publication_signal,publication_evidence,venue_signals,review_reasons,publication_date_evidence,adjudication_note
D001,1,2010-distorted-kagome,2010-distorted-kagome,include,publication_candidate,,2010,Phase transitions and thermodynamics of the two-dimensional Ising model on a distorted kagome lattice,10.1103/PhysRevB.82.134434,2500145ee87847503637dee9e37e045c728abaaee6878c09afeb74710566bb11,True,first-page-doi;first-page-physical-review;first-page-published-year,physical-review,,,
D002,2,2010-ltrg,2010-ltrg,include,publication_candidate,,2011,Linearized Tensor Renormalization Group Algorithm for the Calculation of Thermodynamic Properties of Quantum Lattice Models,10.1103/PhysRevLett.106.127202,64ed539cb68c57f91251b40bd3a8924d9c639a57a1c66a9216aab9abd182fff4,True,first-page-doi;first-page-published-year,,,"PDF header: published 22 March 2011; PRL 106, 127202 (2011)",Directory year 2010 is the received/preprint year; formal publication year is 2011
D004,4,2012-odtns,2012-odtns,include,publication_candidate,,2012,Optimized decimation of tensor networks with super-orthogonalization for two-dimensional quantum lattice models,10.1103/PhysRevB.86.134429,25e3a4e3e4cde43a91e025d9bc757234effab273613061fbb7a63a2f2c63ad44,True,first-page-doi;first-page-physical-review;first-page-published-year,physical-review,,,
D003,3,2012-spin-1-chain-闫,2012-spin-1-chain-闫,include,publication_candidate,,2012,"Phase diagrams, distinct conformal anomalies, and thermodynamics of spin-1 bond-alternating Heisenberg antiferromagnetic chain in magnetic fields",10.1103/PhysRevB.85.134425,41db914368eff13298328dea46e5941cad7fba2bb95b508058cb60b5d4e1d743,True,first-page-doi;first-page-physical-review;first-page-published-year,physical-review,,,
D007,7,2013-kt-phase,2013-kt-phase,include,publication_candidate,,2013,Kosterlitz-Thouless phase transition and re-entrance in an anisotropic three-state Potts model on the generalized kagome lattice,10.1103/PhysRevE.87.032151,635f4c8c76482982876a872dcd07b1385bb443265d56ca1608b8bcdfd5ed480c,True,first-page-doi;first-page-physical-review;first-page-published-year,physical-review,,,
D006,6,2013-ncd-physrevb88064407,2013-ncd-physrevb88064407,include,publication_candidate,,2013,Theory of network contractor dynamics for exploring thermodynamic properties of two-dimensional quantum lattice models,10.1103/PhysRevB.88.064407,6f5fc22cf2e88e758f38ba0df09ab92dd2f281b4e9d18d583ad400752d937e33,True,first-page-doi;first-page-physical-review;first-page-published-year,physical-review,,,
D008,8,2014-husimi,2014-husimi,include,publication_candidate,,2014,"Featureless quantum spin liquid, 1-magnetization plateau state, and exotic thermodynamic properties of the spin-1 frustrated Heisenberg antiferromagnet on an infinite Husimi lattice",10.1103/PhysRevB.89.054426,c7e7b6272349716722c769bd4673b95f1272baf7a9613e5c604313ce35114703,True,first-page-doi;first-page-physical-review;first-page-published-year,physical-review,,,
D005,5,2014-zhaoyanghoneycombladder,2014-zhaoyanghoneycombladder,include,publication_candidate,,2013,Honeycomb Heisenberg spin ladder: Unusual ground state and thermodynamic properties,,8193e299f27c1d4a8d3067fdf4a3111d2adb80ca0b5b6a12cb728b46d2424568,False,pdf-metadata-creation-year-weak,,formal-publication-evidence-not-detected,PDF header: published online 23 December 2013; EPL 104 (2013) 57009,PDF contains EPL 104 (2013) 57009 and DOI 10.1209/0295-5075/104/57009; directory year 2014 is not the publication year
D010,10,2015-sierpinskie2015-60745-5,2015-sierpinskie2015-60745-5,include,publication_candidate,,2016,Phase diagram and exotic spin-spin correlations of anisotropic Ising model on the Sierpi´nski gasket,10.1140/epjb/e2015-60745-5,718620fcf9350d2d70b26c189be39dc693521e0f698d4e3c9a15d59ca6ba0514,True,first-page-doi;first-page-published-statement;first-page-published-year,published-statement,,PDF header: Published online 1 February 2016; Eur. Phys. J. B (2016) 89:27,DOI suffix records the 2015 manuscript identifier; formal publication year is 2016
D009,9,2016-aop-physreve93053310,2016-aop-physreve93053310,include,publication_candidate,,2016,Ab initio optimization principle for the ground states of translationally invariant strongly correlated quantum lattice models,10.1103/PhysRevE.93.053310,1d3914ff225fc375ed764217a83710cd3ea4ac3ea4fbb31e436dc88ce8478d0c,True,first-page-doi;first-page-physical-review;first-page-published-year,physical-review,,,
D013,13,2017-criticality-tn-2d,2017-criticality-tn-2d,include,publication_candidate,,2017,Criticality in two-dimensional quantum systems: Tensor network approach,10.1103/PhysRevB.95.155114,df303ced5bf91f94d53f4f2dbfe6f002cfbd063d7cee20e8d39dda46d824870a,True,first-page-doi;first-page-physical-review;first-page-published-year,physical-review,,,
D015,15,2017-cruezphysrevx7031057,2017-cruezphysrevx7031057,include,publication_candidate,,2017,Exploring Interacting Topological Insulators with Ultracold Atoms: The Synthetic Creutz-Hubbard Model,10.1103/PhysRevX.7.031057,7007d8858fcd4c8ddc04499450bc0e57d25fcd224399db0a726202627518d387,True,first-page-doi;first-page-published-statement;first-page-physical-review;first-page-published-year,published-statement;physical-review,,,
D014,14,2017-fewbody-qes-ground-states,2017-fewbody-qes-ground-states,include,publication_candidate,,2017,Few-body systems capture many-body physics: Tensor network approach,10.1103/PhysRevB.96.155120,68e4390dd7bb1596ad37ce278c155b6e0139e6bf49203c304ee4bfa2fa5387d4,True,first-page-doi;first-page-physical-review;first-page-published-year,physical-review,,,
D012,12,2017-octa-kagome,2017-octa-kagome,include,publication_candidate,,2017,Fermionic algebraic quantum spin liquid in an octa-kagome frustrated antiferromagnet,10.1103/PhysRevB.95.075140,ea4abc5aeb45dd5ceef371576790cd305a08b54a37bb987c25948d372a79dbf4,True,first-page-doi;first-page-physical-review;first-page-published-year,physical-review,,,
D011,11,2017-ptdmrgphysrevb95064110,2017-ptdmrgphysrevb95064110,include,publication_candidate,,2017,Efficient perturbation theory to improve the density matrix renormalization group,10.1103/PhysRevB.95.064110,9f84392f86cbd1e9a1c1fcd28cb83ddeebda106b195bab21cf68cca1e9ffdaa8,True,first-page-doi;first-page-physical-review;first-page-published-year,physical-review,,,
D020,20,2018-091彭程,2018-091彭程,include,publication_candidate,,2019,时间矩阵乘积态理论及其应用,,2ac7e6dab3190212e43237f33626b0c79ba65a6f72e23da21c83e47fce793769,False,pdf-metadata-creation-year-weak,,formal-publication-evidence-not-detected,PDF journal header and issue metadata identify the 2019 publication; PDF creation timestamp is also 2019,"PDF contains journal title, volume/issue and article-number publication header; directory year 2018 reflects manuscript timing"
D018,18,2018-csw-physrevb98085111,2018-csw-physrevb98085111,include,publication_candidate,,2018,Controlling the phase diagram of finite spin-$\frac{1}{2}$ chains by tuning the boundary interactions,10.1103/PhysRevB.98.085111,72073a4cbb8872a3debb2a50804c1b33644fe0ec95f36dce6761241ee4698e76,True,first-page-doi;first-page-physical-review;first-page-published-year,physical-review,,,
D017,17,2018-emergent-spin-1-trimerized-valence-bond-crystal,2018-emergent-spin-1-trimerized-valence-bond-crystal,include,publication_candidate,,2018,Emergent spin-1 trimerized valence bond crystal in the spin- <sup>1</sup> Heisenberg model on the star lattice,10.1103/PhysRevB.97.075146,88c6651b7477e2c363d2780ef52d9e75dc874b44faddfa13bbcbf9affdda3d71,True,first-page-doi;first-page-physical-review;first-page-published-year,physical-review,,,
D016,16,2018-kagome-chenxi,2018-kagome-chenxi,include,publication_candidate,,2018,Thermodynamics of spin-1/2 Kagomé Heisenberg antiferromagnet: algebraic paramagnetic liquid and finite-temperature phase diagram,10.1016/j.scib.2018.11.007,ac6b264f133d022acddf836a923a86540b0dd2a67684a139f4315fa47cbaa20f,True,first-page-doi;first-page-published-statement;pdf-metadata-creation-year-weak,published-statement,,,
D019,19,2018-pc-epjb,2018-pc-epjb,include,publication_candidate,,2018,Exotic entanglement scaling of Heisenberg antiferromagnet on honeycomb lattice,10.1140/epjb/e2018-90197-2,c29aedae0dff40a0f138488dfda596c8e7ffa63fa865fa5ab79a00b9cb5605b9,True,first-page-doi;pdf-metadata-creation-year-weak,,,,
