paper_id,work_id,year,title,title_short,primary_hub_id,secondary_hub_id,macro_domain,max_overlap
D001,2010-distorted-kagome,2010,Phase transitions and thermodynamics of the two-dimensional Ising model on a distorted kagome lattice,Phase transitions and thermodynamics of the two-dimensional Ising model on a distorted kagome...,academic/wiki/hubs/Heisenberg 反铁磁模型,academic/wiki/hubs/张量重正化群及可微变体,many-body,2
D002,2010-ltrg,2011,Linearized Tensor Renormalization Group Algorithm for the Calculation of Thermodynamic Properties of Quantum Lattice Models,Linearized Tensor Renormalization Group Algorithm for the Calculation of Thermodynamic Proper...,academic/wiki/hubs/张量重正化群及可微变体,,TN-core,1
D003,2012-spin-1-chain-闫,2012,"Phase diagrams, distinct conformal anomalies, and thermodynamics of spin-1 bond-alternating Heisenberg antiferromagnetic chain in magnetic fields","Phase diagrams, distinct conformal anomalies, and thermodynamics of spin-1 bond-alternating H...",academic/wiki/hubs/张量重正化群及可微变体,academic/wiki/hubs/纠缠熵与纠缠谱诊断,TN-core,2
D004,2012-odtns,2012,Optimized decimation of tensor networks with super-orthogonalization for two-dimensional quantum lattice models,Optimized decimation of tensor networks with super-orthogonalization for two-dimensional quan...,academic/wiki/hubs/PEPS 与 iPEPS 更新方法,academic/wiki/hubs/二维量子多体系统与临界性,TN-core,7
D005,2014-zhaoyanghoneycombladder,2013,Honeycomb Heisenberg spin ladder: Unusual ground state and thermodynamic properties,Honeycomb Heisenberg spin ladder: Unusual ground state and thermodynamic properties,academic/wiki/hubs/张量重正化群及可微变体,academic/wiki/hubs/量子与变分蒙特卡洛方法,TN-core,1
D006,2013-ncd-physrevb88064407,2013,Theory of network contractor dynamics for exploring thermodynamic properties of two-dimensional quantum lattice models,Theory of network contractor dynamics for exploring thermodynamic properties of two-dimension...,academic/wiki/hubs/PEPS 与 iPEPS 更新方法,academic/wiki/hubs/局域与双体纠缠熵及面积律,TN-core,3
D007,2013-kt-phase,2013,Kosterlitz-Thouless phase transition and re-entrance in an anisotropic three-state Potts model on the generalized kagome lattice,Kosterlitz-Thouless phase transition and re-entrance in an anisotropic three-state Potts mode...,academic/wiki/hubs/张量重正化群及可微变体,academic/wiki/hubs/关联长度与最近邻关联诊断,TN-core,1
D008,2014-husimi,2014,"Featureless quantum spin liquid, 1-magnetization plateau state, and exotic thermodynamic properties of the spin-1 frustrated Heisenberg antiferromagnet on an infinite Husimi lattice","Featureless quantum spin liquid, 1-magnetization plateau state, and exotic thermodynamic prop...",academic/wiki/hubs/PEPS 与 iPEPS 更新方法,academic/wiki/hubs/张量重正化群及可微变体,TN-core,2
D009,2016-aop-physreve93053310,2016,Ab initio optimization principle for the ground states of translationally invariant strongly correlated quantum lattice models,Ab initio optimization principle for the ground states of translationally invariant strongly...,academic/wiki/hubs/PEPS 与 iPEPS 更新方法,academic/wiki/hubs/PEPS/PESS 表示及高维推广,TN-core,4
D010,2015-sierpinskie2015-60745-5,2016,Phase diagram and exotic spin-spin correlations of anisotropic Ising model on the Sierpi´nski gasket,Phase diagram and exotic spin-spin correlations of anisotropic Ising model on the Sierpi´nski...,academic/wiki/hubs/Heisenberg 反铁磁模型,,many-body,2
D011,2017-ptdmrgphysrevb95064110,2017,Efficient perturbation theory to improve the density matrix renormalization group,Efficient perturbation theory to improve the density matrix renormalization group,academic/wiki/hubs/PEPS 与 iPEPS 更新方法,academic/wiki/hubs/张量重正化群及可微变体,TN-core,2
D012,2017-octa-kagome,2017,Fermionic algebraic quantum spin liquid in an octa-kagome frustrated antiferromagnet,Fermionic algebraic quantum spin liquid in an octa-kagome frustrated antiferromagnet,academic/wiki/hubs/量子自旋模型与自旋液体,academic/wiki/hubs/关联长度与最近邻关联诊断,many-body,3
D013,2017-criticality-tn-2d,2017,Criticality in two-dimensional quantum systems: Tensor network approach,Criticality in two-dimensional quantum systems: Tensor network approach,academic/wiki/hubs/纠缠熵与纠缠谱诊断,academic/wiki/hubs/PEPS 与 iPEPS 更新方法,many-body,5
D014,2017-fewbody-qes-ground-states,2017,Few-body systems capture many-body physics: Tensor network approach,Few-body systems capture many-body physics: Tensor network approach,academic/wiki/hubs/局域与双体纠缠熵及面积律,academic/wiki/hubs/张量网络方法与机器学习,many-body,5
