record_type,record_id,label,gpt56sol,claude48,consensus,membership_trials,observed,null_mean,p_value
physh_summary,Q_concept_exact,Exact PhySH concept alignment,,,,,0.1870107774548857,0.14728293935039213,0.14758524147585242
model_judge_hub,H01,Heisenberg 反铁磁模型,0.375,0.5,0.4375,4,,,
model_judge_hub,H02,PEPS 与 iPEPS 更新方法,0.625,0.875,0.75,4,,,
model_judge_hub,H03,PEPS/PESS 表示及高维推广,1.0,1.0,1.0,4,,,
model_judge_hub,H04,msQFM 及其编码方案,1.0,1.0,1.0,2,,,
model_judge_hub,H05,一维量子自旋链与基态,0.0,0.0,0.0,1,,,
model_judge_hub,H06,二维量子多体系统与临界性,0.5,0.5,0.5,2,,,
model_judge_hub,H07,价键固体与价键晶体,1.0,1.0,1.0,3,,,
model_judge_hub,H08,关联长度与最近邻关联诊断,0.75,0.875,0.8125,4,,,
model_judge_hub,H09,多参考 Hartree–Fock 与耦合簇方法,1.0,1.0,1.0,1,,,
model_judge_hub,H10,局域与双体纠缠熵及面积律,1.0,1.0,1.0,4,,,
model_judge_hub,H11,张量网络方法与机器学习,1.0,1.0,1.0,2,,,
model_judge_hub,H12,张量重正化群及可微变体,0.75,0.625,0.6875,4,,,
model_judge_hub,H13,拓扑纠缠熵与 Rényi 诊断,1.0,1.0,1.0,2,,,
model_judge_hub,H14,神经网络求解电子薛定谔方程,1.0,1.0,1.0,2,,,
model_judge_hub,H15,纠缠熵与纠缠谱诊断,0.875,0.5,0.6875,4,,,
model_judge_hub,H16,量子与变分蒙特卡洛方法,0.75,0.875,0.8125,4,,,
model_judge_hub,H17,量子格点模型的晶格几何,0.6666666666666666,0.5,0.5833333333333333,3,,,
model_judge_hub,H18,量子自旋模型与自旋液体,0.6666666666666666,0.6666666666666666,0.6666666666666666,3,,,
